policy,step,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,cumulative_efficiency,capacity_bits,record_entropy_bits,sector_exported_bits,protected_leakage_bits,bandwidth_slack_bits
sort_then_contract,16,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.008929,1.584963,1.584963,0.000000
sort_then_contract,17,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.016238,1.584963,1.584963,0.000000
sort_then_contract,18,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.002198,1.584963,1.584963,0.000000
sort_then_contract,19,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.002598,1.584963,1.584963,0.000000
sort_then_contract,20,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000475,1.584963,1.584963,0.000000
sort_then_contract,21,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000416,1.584963,1.584963,0.000000
sort_then_contract,22,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000096,1.584963,1.584963,0.000000
sort_then_contract,23,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000067,1.584963,1.584963,0.000000
sort_then_contract,24,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000018,1.584963,1.584963,0.000000
centralizing_sorter,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
centralizing_sorter,1,3.169925,0.950978,2.218948,0.950978,0.950978,0.000000,1.000000,1.000000,3.321928,1.832268,0.475489,0.475489,0.000000
centralizing_sorter,2,3.169925,1.616662,1.553263,0.665684,0.665684,0.000000,1.000000,1.000000,3.321928,1.441396,0.808331,0.808331,0.000000
centralizing_sorter,3,3.169925,2.082641,1.087284,0.465979,0.465979,0.000000,1.000000,1.000000,3.321928,1.089782,1.041320,1.041320,0.000000
centralizing_sorter,4,3.169925,2.408826,0.761099,0.326185,0.326185,0.000000,1.000000,1.000000,3.321928,0.800250,1.204413,1.204413,0.000000
centralizing_sorter,5,3.169925,2.637156,0.532769,0.228330,0.228330,0.000000,1.000000,1.000000,3.321928,0.576579,1.318578,1.318578,0.000000
centralizing_sorter,6,3.169925,2.796986,0.372939,0.159831,0.159831,0.000000,1.000000,1.000000,3.321928,0.410573,1.398493,1.398493,0.000000
centralizing_sorter,7,3.169925,2.908868,0.261057,0.111882,0.111882,0.000000,1.000000,1.000000,3.321928,0.290302,1.454434,1.454434,0.000000
centralizing_sorter,8,3.169925,2.987185,0.182740,0.078317,0.078317,0.000000,1.000000,1.000000,3.321928,0.204403,1.493593,1.493593,0.000000
centralizing_sorter,9,3.169925,3.042007,0.127918,0.054822,0.054822,0.000000,1.000000,1.000000,3.321928,0.143568,1.521004,1.521004,0.000000
centralizing_sorter,10,3.169925,3.080382,0.089543,0.038375,0.038375,0.000000,1.000000,1.000000,3.321928,0.100695,1.540191,1.540191,0.000000
centralizing_sorter,11,3.169925,3.169925,0.000000,0.089543,0.089543,0.000000,1.000000,1.000000,3.321928,0.130806,1.584963,1.584963,0.000000
centralizing_sorter,12,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.038357,1.584963,1.584963,0.000000
centralizing_sorter,13,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.015343,1.584963,1.584963,0.000000
centralizing_sorter,14,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.006137,1.584963,1.584963,0.000000
centralizing_sorter,15,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.002455,1.584963,1.584963,0.000000
centralizing_sorter,16,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000982,1.584963,1.584963,0.000000
centralizing_sorter,17,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000393,1.584963,1.584963,0.000000
centralizing_sorter,18,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000157,1.584963,1.584963,0.000000
centralizing_sorter,19,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000063,1.584963,1.584963,0.000000
