access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.14,0.0,0.08,0.35,0.1399999999999999,0.0,0.9097361225311663,0.8042388116428557,0.17407764705363504,0.1399999999999999,0.0,1.0000000000000002,0.01603996899658089,0.023979962578865567,transition
0.15,0.0,0.08,0.35,0.15000000000000002,0.0,0.9097361225311662,0.8398403047164005,0.17860538385407976,0.15000000000000002,0.0,1.0,0.017478736698399056,0.026322538106516673,transition
0.16,0.0,0.08,0.35,0.15999999999999992,0.0,0.9097361225311663,0.874309554640566,0.18300154579207006,0.15999999999999992,0.0,1.0000000000000002,0.01892898334640647,0.02872600201270484,transition
0.17,0.0,0.08,0.35,0.16999999999999993,0.0,0.9097361225311664,0.9077047787442193,0.1872855624217265,0.16999999999999993,0.0,1.0000000000000002,0.020387505347382873,0.031189437092782202,transition
0.18,0.0,0.08,0.35,0.17999999999999994,0.0,0.9097361225311662,0.9400770457282797,0.191473667842356,0.17999999999999994,0.0,1.0,0.02185134478201123,0.03371214792773814,transition
0.19,0.0,0.08,0.35,0.18999999999999995,0.0,0.9097361225311662,0.9714714598838974,0.19557960047813164,0.18999999999999995,0.0,1.0,0.023317759570704255,0.03629363325167714,transition
0.2,0.0,0.08,0.35,0.19999999999999996,0.0,0.9097361225311662,1.0019280948873623,0.19961512310170734,0.19999999999999996,0.0,1.0,0.02478419857769687,0.03893356445032864,transition
0.21,0.0,0.08,0.35,0.20999999999999963,1.1102230246251565e-16,0.9097361225311663,1.0314827399312734,0.20359041588421703,0.20999999999999966,1.2203791815325238e-16,0.9999999999999999,0.026248280621060327,0.04163176867842917,transition
0.22,0.0,0.08,0.35,0.21999999999999997,0.0,0.9097361225311662,1.0601675029619657,0.20751437804436515,0.21999999999999997,0.0,1.0,0.027707776610874757,0.044388215523072795,transition
0.23,0.0,0.08,0.35,0.22999999999999998,0.0,0.9097361225311663,1.088011303546538,0.21139486258118834,0.22999999999999998,0.0,1.0000000000000002,0.0291605942209322,0.04720300643780578,transition
0.24,0.0,0.08,0.35,0.24,0.0,0.9097361225311662,1.1150402793845222,0.21523886126559905,0.24,0.0,1.0,0.030604764633288317,0.05007636637839081,transition
0.25,0.0,0.08,0.35,0.2499999999999999,0.0,0.9097361225311662,1.1412781244591328,0.21905265214688863,0.2499999999999999,0.0,1.0,0.03203843099444348,0.05300863721673265,transition
0.26,0.0,0.08,0.35,0.26,0.0,0.9097361225311662,1.166746372492618,0.22284191845785664,0.26,0.0,1.0,0.03345983829679022,0.056000272614132665,transition
0.27,0.0,0.08,0.35,0.27,0.0,0.9097361225311662,1.1914646362081758,0.2266118454503797,0.27,0.0,1.0,0.034867324456022475,0.059051834111560494,transition
0.28,0.0,0.08,0.35,0.28,0.0,0.9097361225311662,1.215450810560131,0.23036720002758831,0.28,0.0,1.0,0.03625931239917646,0.06216398825147404,transition
0.29,0.0,0.08,0.35,0.29000000000000004,0.0,0.9097361225311662,1.2387212463394048,0.23411239684230067,0.29000000000000004,0.0,1.0000000000000002,0.03763430301222925,0.06533750458857931,transition
0.3,0.0,0.08,0.35,0.30000000000000004,0.0,0.9097361225311662,1.2612908992306928,0.23785155366060357,0.30000000000000004,0.0,1.0000000000000002,0.03899086882312075,0.06857325447973428,transition
0.31,0.0,0.08,0.35,0.31000000000000005,0.0,0.9097361225311662,1.2831734583778571,0.2415885381481403,0.31000000000000005,0.0,1.0000000000000002,0.04032764831743951,0.07187221056869512,transition
0.32,0.0,0.08,0.35,0.32000000000000006,0.0,0.9097361225311662,1.304381457724494,0.24532700775909766,0.32000000000000006,0.0,1.0000000000000002,0.04164334080111143,0.07523544690152599,transition
0.33,0.0,0.08,0.35,0.33000000000000007,0.0,0.9097361225311662,1.3249263727797278,0.2490704440486395,0.33000000000000007,0.0,1.0000000000000002,0.042936701738212735,0.07866413962463727,transition
0.34,0.0,0.08,0.35,0.3400000000000001,0.0,0.9097361225311662,1.3448187049730302,0.2528221824567934,0.3400000000000001,0.0,1.0000000000000002,0.04420653850321665,0.082159568230607,transition
0.35000000000000003,0.0,0.08,0.35,0.3500000000000001,0.0,0.9097361225311662,1.3640680553754914,0.25658543840296477,0.3500000000000001,0.0,1.0000000000000002,0.04545170649612296,0.08572311732792301,transition
0.36,0.0,0.08,0.35,0.3599999999999999,0.0,0.9097361225311662,1.3826831892554923,0.2603633303691516,0.3599999999999999,0.0,1.0,0.04667110557643228,0.08935627892013408,transition
0.37,0.0,0.08,0.35,0.37,0.0,0.9097361225311662,1.400672092687066,0.26415890052480995,0.37,0.0,1.0,0.04786367677813219,0.09306065518804875,transition
0.38,0.0,0.08,0.35,0.3799999999999999,0.0,0.9097361225311662,1.4180420222262995,0.2679751333485922,0.3799999999999999,0.0,1.0,0.04902839927301994,0.0968379617759039,transition
0.39,0.0,0.08,0.35,0.39,0.0,0.9097361225311662,1.4347995485050873,0.2718149726255069,0.39,0.0,1.0,0.050164287553987164,0.10069003158912432,transition
0.4,0.0,0.08,0.35,0.3999999999999999,0.0,0.9097361225311662,1.4509505944546686,0.2756813371376974,0.3999999999999999,0.0,1.0,0.051270388813487666,0.10461881911761016,transition
0.41000000000000003,0.0,0.08,0.35,0.41000000000000003,0.0,0.9097361225311662,1.4665004687578242,0.27957713531948886,0.41000000000000003,0.0,1.0,0.05234578049544114,0.10862640530462937,transition
0.42,0.0,0.08,0.35,0.41999999999999993,0.0,0.9097361225311664,1.4814538950336535,0.28350527910992396,0.41999999999999993,0.0,1.0000000000000002,0.05338956800136874,0.11271500298749783,transition
0.43,0.0,0.08,0.35,0.42999999999999994,0.0,0.9097361225311663,1.4958150371789198,0.28746869720668955,0.42999999999999994,0.0,1.0,0.0544008825337049,0.11688696294246742,transition
0.44,0.0,0.08,0.35,0.43999999999999995,1.1102230246251565e-16,0.9097361225311662,1.5095875212220555,0.2914703479025893,0.43999999999999995,1.2203791815325238e-16,0.9999999999999999,0.05537887906104544,0.1211447805727328,transition
0.45,0.0,0.08,0.35,0.44999999999999996,1.1102230246251565e-16,0.9097361225311662,1.5227744539878083,0.2955132316683865,0.44999999999999996,1.2203791815325238e-16,0.9999999999999999,0.056322734391619056,0.1254911032853635,transition
0.46,0.0,0.08,0.35,0.45999999999999996,0.0,0.9097361225311663,1.535378438820226,0.2996004036330357,0.45999999999999996,0.0,1.0,0.057231645342555426,0.12992873861039872,transition
0.47000000000000003,0.0,0.08,0.35,0.47,0.0,0.9097361225311663,1.5474015885677397,0.303734986103399,0.47,0.0,1.0,0.05810482699359687,0.13446066312346047,transition
0.48,0.0,0.08,0.35,0.48,0.0,0.9097361225311662,1.558845535995202,0.30792018126001,0.48,0.0,1.0,0.05894151101479328,0.13909003224220606,transition
0.49,0.0,0.08,0.35,0.49,0.0,0.9097361225311662,1.56971144175281,0.3121592841629823,0.49,0.0,1.0,0.05974094405844421,0.143820190976934,transition
0.5,0.0,0.08,0.35,0.5,0.0,0.9097361225311662,1.58,0.3164556962025316,0.5,0.0,1.0,0.06050238620613402,0.1486546857268775,transition
0.51,0.0,0.08,0.35,0.51,0.0,0.9097361225311662,1.5897114417528102,0.32081293913169284,0.51,0.0,1.0,0.061225109462148875,0.15359727722640543,transition
0.52,0.0,0.08,0.35,0.52,0.0,0.9097361225311662,1.5988455359952018,0.3252346698246406,0.52,0.0,1.0,0.061908396284880984,0.15865195475976826,transition
0.53,0.0,0.08,0.35,0.53,0.0,0.9097361225311662,1.6074015885677397,0.3297246959126447,0.53,0.0,1.0,0.0625515381480195,0.16382295177949802,transition
0.54,0.0,0.08,0.35,0.54,0.0,0.9097361225311662,1.615378438820226,0.33428699246127314,0.54,0.0,1.0,0.06315383412340037,0.16911476308247228,transition
