access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.82,0.0,0.36,0.35,0.82,0.0,0.9097361225311663,1.8600770457282798,0.44084195430676026,0.82,0.0,1.0000000000000002,0.08286185150022063,0.3315366384782198,protected_forgetting_interval
0.82,0.0,0.38,0.35,0.82,0.0,0.9097361225311663,1.8800770457282798,0.4361523384709795,0.82,0.0,1.0000000000000002,0.08457536779637131,0.3273969671042302,protected_forgetting_interval
0.82,0.0,0.4,0.35,0.82,0.0,0.9097361225311663,1.9000770457282798,0.43156144738630975,0.82,0.0,1.0000000000000002,0.08630395678301139,0.3233391092431317,protected_forgetting_interval
0.82,0.0,0.42,0.35,0.82,0.0,0.9097361225311663,1.9200770457282799,0.4270661960280746,0.82,0.0,1.0000000000000002,0.08804752092091339,0.31936054248291584,protected_forgetting_interval
0.82,0.0,0.44,0.35,0.82,0.0,0.9097361225311663,1.9400770457282799,0.4226636265840579,0.82,0.0,1.0000000000000002,0.08980596195835933,0.3154588486713717,protected_forgetting_interval
0.82,0.0,0.46,0.35,0.82,0.0,0.9097361225311663,1.96007704572828,0.41835090196432734,0.82,0.0,1.0000000000000002,0.091579180940353,0.31163170859375666,protected_forgetting_interval
0.82,0.0,0.48,0.35,0.82,0.0,0.9097361225311663,1.98007704572828,0.4141252997043864,0.82,0.0,1.0000000000000002,0.0933670782178847,0.3078768969730033,protected_forgetting_interval
0.82,0.0,0.5,0.35,0.82,0.0,0.9097361225311663,2.00007704572828,0.4099842062341237,0.82,0.0,1.0000000000000002,0.09516955345724731,0.30419227776988456,protected_forgetting_interval
0.82,0.0,0.52,0.35,0.82,0.0,0.9097361225311663,2.02007704572828,0.40592511148720706,0.82,0.0,1.0000000000000002,0.09698650564940248,0.3005757997623494,protected_forgetting_interval
0.82,0.0,0.54,0.35,0.82,0.0,0.9097361225311663,2.04007704572828,0.40194560382756084,0.82,0.0,1.0000000000000002,0.09881783311939563,0.2970254923848725,protected_forgetting_interval
0.82,0.0,0.56,0.35,0.82,0.0,0.9097361225311663,2.06007704572828,0.3980433652713765,0.82,0.0,1.0000000000000002,0.10066343353581941,0.2935394618101461,protected_forgetting_interval
0.82,0.0,0.58,0.35,0.82,0.0,0.9097361225311663,2.08007704572828,0.39421616698476675,0.82,0.0,1.0000000000000002,0.10252320392032244,0.29011588725680576,protected_forgetting_interval
0.82,0.0,0.6,0.35,0.82,0.0,0.9097361225311663,2.10007704572828,0.3904618650386869,0.82,0.0,1.0000000000000002,0.10439704065716437,0.28675301750812016,protected_forgetting_interval
0.82,0.0,0.62,0.35,0.82,0.0,0.9097361225311663,2.12007704572828,0.3867783964041349,0.82,0.0,1.0000000000000002,0.1062848395028142,0.2834491676277158,protected_forgetting_interval
0.82,0.0,0.64,0.35,0.82,0.0,0.9097361225311663,2.14007704572828,0.3831637751719118,0.82,0.0,1.0000000000000002,0.10818649559559201,0.28020271585944606,protected_forgetting_interval
0.82,0.0,0.66,0.35,0.82,0.0,0.9097361225311663,2.16007704572828,0.3796160889823877,0.82,0.0,1.0000000000000002,0.11010190346535154,0.27701210069947074,protected_forgetting_interval
0.82,0.0,0.68,0.35,0.82,0.0,0.9097361225311663,2.18007704572828,0.37613349565178755,0.82,0.0,1.0000000000000002,0.11203095704320365,0.27387581812948797,protected_forgetting_interval
0.82,0.0,0.7000000000000001,0.35,0.82,0.0,0.9097361225311663,2.20007704572828,0.3727142199824914,0.82,0.0,1.0000000000000002,0.11397354967127837,0.27079241900086265,protected_forgetting_interval
0.82,0.0,0.72,0.35,0.82,0.0,0.9097361225311663,2.2200770457282797,0.3693565507457445,0.82,0.0,1.0000000000000002,0.11592957411252502,0.2677605065601378,protected_forgetting_interval
0.82,0.0,0.74,0.35,0.82,0.0,0.9097361225311663,2.24007704572828,0.3660588378260028,0.82,0.0,1.0000000000000002,0.11789892256054868,0.2647787341070914,protected_forgetting_interval
0.82,0.0,0.76,0.35,0.82,0.0,0.9097361225311663,2.2600770457282797,0.3628194895169009,0.82,0.0,1.0000000000000002,0.11988148664948184,0.2618458027771312,protected_forgetting_interval
0.82,0.0,0.78,0.35,0.82,0.0,0.9097361225311663,2.28007704572828,0.359636969959532,0.82,0.0,1.0000000000000002,0.12187715746389027,0.258960459440389,protected_forgetting_interval
0.82,0.0,0.8,0.35,0.82,0.0,0.9097361225311663,2.3000770457282798,0.35650979671437966,0.82,0.0,1.0000000000000002,0.12388582554871141,0.25612149471041673,protected_forgetting_interval
0.82,0.0,0.8200000000000001,0.35,0.82,0.0,0.9097361225311663,2.32007704572828,0.35343653845883344,0.82,0.0,1.0000000000000002,0.1259073809192245,0.25332774105586653,protected_forgetting_interval
0.82,0.0,0.84,0.35,0.82,0.0,0.9097361225311663,2.34007704572828,0.35041581280277856,0.82,0.0,1.0000000000000002,0.1279417130710503,0.2505780710089975,protected_forgetting_interval
0.82,0.0,0.86,0.35,0.82,0.0,0.9097361225311663,2.36007704572828,0.3474462842152519,0.82,0.0,1.0000000000000002,0.12998871099018072,0.24787139546526238,protected_forgetting_interval
0.82,0.0,0.88,0.35,0.82,0.0,0.9097361225311663,2.38007704572828,0.3445266620556345,0.82,0.0,1.0000000000000002,0.1320482631630353,0.2452066620686206,protected_forgetting_interval
0.82,0.0,0.9,0.35,0.82,0.0,0.9097361225311663,2.40007704572828,0.34165569870328016,0.82,0.0,1.0000000000000002,0.1341202575865439,0.24258285367757426,protected_forgetting_interval
0.82,0.0,0.92,0.35,0.82,0.0,0.9097361225311663,2.42007704572828,0.3388321877798875,0.82,0.0,1.0000000000000002,0.1362045817782559,0.23999898690725957,protected_forgetting_interval
0.82,0.0,0.9400000000000001,0.35,0.82,0.0,0.9097361225311663,2.44007704572828,0.3360549624592931,0.82,0.0,1.0000000000000002,0.13830112278647133,0.23745411074323014,protected_forgetting_interval
0.82,0.0,0.96,0.35,0.82,0.0,0.9097361225311663,2.46007704572828,0.3333228938597114,0.82,0.0,1.0000000000000002,0.14040976720039622,0.23494730522285176,protected_forgetting_interval
0.82,0.0,0.98,0.35,0.82,0.0,0.9097361225311663,2.48007704572828,0.3306348895137672,0.82,0.0,1.0000000000000002,0.14253040116031823,0.23247768018049345,protected_forgetting_interval
0.82,0.0,1.0,0.35,0.82,0.0,0.9097361225311663,2.50007704572828,0.32798989191196365,0.82,0.0,1.0000000000000002,0.14466291036780277,0.23004437405294156,protected_forgetting_interval
0.82,0.0,1.02,0.35,0.82,0.0,0.9097361225311663,2.52007704572828,0.3253868771155079,0.82,0.0,1.0000000000000002,0.14680718009590799,0.22764655274169251,protected_forgetting_interval
