g,gamma_phi,gamma_thermal,memory,record,coherence,mixedness,classical_score,quantum_score,regime
2.3,2.3,0.23548489666136727,0.03200099908229578,0.5956108167961432,0.01666954377702163,0.998848874396233,0.009541040909123754,0.00015904479911299266,dissolved
2.3333333333333335,2.3333333333333335,0.23655172413793105,0.032683565601079316,0.5942220404464146,0.016643464710647145,0.9987921660628989,0.009722376369895007,0.00016181402801597724,dissolved
2.3666666666666667,2.3666666666666667,0.23758289850193573,0.03335293004628181,0.5928820707549626,0.016614338903357256,0.9987347619227668,0.009899686748755732,0.00016447675068090268,dissolved
2.4,2.4,0.23857988165680474,0.03400934308051393,0.5915888055373653,0.016582364761640024,0.9986767271132941,0.010073085150343301,0.00016703557223805217,dissolved
2.433333333333333,2.433333333333333,0.23954406806871087,0.03465308333156846,0.5903402426211349,0.01654773036232014,0.9986181207493589,0.010242689438421305,0.00016949326301198006,dissolved
2.466666666666667,2.466666666666667,0.24047678795483063,0.0352844482910098,0.5891344752878368,0.016510613825900872,0.9985589966067691,0.010408619738932345,0.0001718527009701611,dissolved
2.5,2.5,0.24137931034482762,0.035903747312544816,0.5879696878316798,0.01647118370373519,0.9984994037192783,0.010570996579833715,0.0001741168265979975,dissolved
2.533333333333333,2.533333333333333,0.2422528460155782,0.03651129622648732,0.586844151250327,0.016429599372940577,0.9984393869007522,0.010729939514511594,0.00017628860751931,dissolved
2.566666666666667,2.566666666666667,0.2430985503001904,0.037107413205449524,0.5857562190792654,0.016386011434090336,0.9983789872024941,0.010885566113977549,0.00017837101081018242,dissolved
2.6,2.6,0.2439175257731959,0.03769241560361596,0.5847043233774741,0.016340562107663024,0.998318242314325,0.011037991241157018,0.00018036698141996673,dissolved
2.6333333333333333,2.6333333333333333,0.24471082481445178,0.03826661755664034,0.5836869708691712,0.016293385626020753,0.9982571869168256,0.011187326541345572,0.0001822794254623604,dissolved
2.6666666666666665,2.6666666666666665,0.24547945205479452,0.03883032817766912,0.5827027392440346,0.016244608618358927,0.9981958529911132,0.011333680098400009,0.00018411119740419186,dissolved
2.7,2.7,0.24622436670687578,0.03938385022161297,0.5817502736163599,0.016194350486625163,0.9981342700916649,0.011477156217877527,0.00018586509038205797,dissolved
