noise_strength,structure_fraction,structured_syndrome_mi_bits,aligned_logical_env_mi_bits,unaligned_logical_env_mi_bits,unaligned_coherence,aligned_coherence,alignment_gain,aligned_entanglement_fidelity,unaligned_entanglement_fidelity,aligned_coherent_information_bits,unaligned_coherent_information_bits,noise_tailored_score,regime
0.3333333333333333,0.0,6.205327753771953e-18,0.14460797848389595,0.14460797848389595,0.8948393168143696,0.8948393168143696,0.0,0.9474196584071848,0.9474196584071848,0.7027414449979119,0.7027414449979119,4.749796222667472e-18,no_syndrome
0.35,0.0,6.205327753771953e-18,0.15787034026175384,0.15787034026175384,0.8847059049434833,0.8847059049434833,0.0,0.9423529524717417,0.9423529524717417,0.6819671165303264,0.6819671165303264,4.623199286858122e-18,no_syndrome
0.36666666666666664,0.0,6.205327753771953e-18,0.17150600151711148,0.17150600151711148,0.8742014442744247,0.8742014442744247,0.0,0.9371007221372123,0.9371007221372123,0.6611519572213563,0.6611519572213563,4.4943367659755914e-18,no_syndrome
0.3833333333333333,0.0,6.205327753771953e-18,0.1854849381036887,0.1854849381036887,0.8633419395251108,0.8633419395251108,0.0,0.9316709697625554,0.9316709697625554,0.6403432495862248,0.6403432495862248,4.3636175856839765e-18,no_syndrome
0.4,0.0,6.205327753771953e-18,0.19977727296198955,0.19977727296198955,0.8521437889662111,0.8521437889662111,0.0,0.9260718944831056,0.9260718944831056,0.6195855269498373,0.6195855269498373,4.231442946149493e-18,no_syndrome
0.4166666666666667,0.0,6.205327753771953e-18,0.21435336962018847,0.21435336962018847,0.8406237433345051,0.8406237433345051,0.0,0.9203118716672525,0.9203118716672525,0.5989206633487003,0.5989206633487003,4.098204536014697e-18,no_syndrome
0.43333333333333335,0.0,6.205327753771953e-18,0.22918391833859342,0.22918391833859342,0.8287988642954257,0.8287988642954257,0.0,0.9143994321477129,0.9143994321477129,0.5783879529604808,0.5783879529604808,3.964282900433944e-18,no_syndrome
0.45,0.0,6.205327753771953e-18,0.24424001516359983,0.24424001516359983,0.8166864825981106,0.8166864825981106,0.0,0.9083432412990553,0.9083432412990553,0.5580241816311634,0.5580241816311634,3.830045965629532e-18,no_syndrome
0.4666666666666667,0.0,6.205327753771953e-18,0.25949323417336867,0.25949323417336867,0.804304156065572,0.804304156065572,0.0,0.9021520780327861,0.9021520780327861,0.5378636925531403,0.5378636925531403,3.695847721054688e-18,no_syndrome
0.48333333333333334,0.0,6.205327753771953e-18,0.27491569320571263,0.27491569320571263,0.7916696275612654,0.7916696275612654,0.0,0.8958348137806327,0.8958348137806327,0.5179384477406735,0.5179384477406735,3.5620270589873106e-18,no_syndrome
