true_lens_center,bright_bins,dark_bins,bright_entropy_bits,full_entropy_bits,bright_info_bits,full_info_bits,dark_fringe_gain_bits,bright_map,full_map,bright_mean,full_mean,bright_map_abs_error,full_map_abs_error,bright_mean_abs_error,full_mean_abs_error
0.49999999999999994,71,20,7.845532794524497e-05,7.175572158746321e-06,7.033344546209505,7.0334158259652915,7.127975578649865e-05,0.5,0.5,0.49999997934421847,0.4999999982968876,5.551115123125783e-17,5.551115123125783e-17,2.065578147414371e-08,1.70311231784126e-09
0.532,73,18,0.9997630374717659,0.6656515508702476,6.033659964065684,6.3677714506672025,0.33411148660151824,0.535076923076923,0.5292307692307692,0.5322068242100916,0.5302450835213582,0.003076923076922977,0.002769230769230857,0.0002068242100915496,0.0017549164786417881
0.564,71,20,0.00046957256190144207,0.00010864849416313864,7.032953428975548,7.033314353043287,0.00036092406773830345,0.5643076923076923,0.5643076923076923,0.5643076075548191,0.5643076844962353,0.0003076923076923421,0.0003076923076923421,0.0003076075548191781,0.00030768449623530536
0.5959999999999999,68,23,0.7664444069142199,0.2426952118289218,6.266978594623231,6.790727789708528,0.5237491950852982,0.5935384615384616,0.5935384615384616,0.5948396079253663,0.5937727093398989,0.002461538461538293,0.002461538461538293,0.0011603920746335872,0.0022272906601009668
0.6279999999999999,70,21,0.012424874673690032,0.001761152395262301,7.02099812686376,7.031661849142188,0.010663722278427731,0.6286153846153847,0.6286153846153847,0.6286104248747143,0.6286147201491133,0.0006153846153847953,0.0006153846153847953,0.0006104248747144103,0.0006147201491134568
0.6599999999999999,73,18,0.745348360424914,0.7243159121526624,6.288074641112536,6.309107089384788,0.02103244827225159,0.6578461538461539,0.6578461538461539,0.6590713566725365,0.6590125757066135,0.002153846153846062,0.002153846153846062,0.000928643327463452,0.0009874242933863853
0.692,68,23,0.05004161601870563,0.007685889724728004,6.9833813855187445,7.025737111812722,0.04235572629397763,0.692923076923077,0.692923076923077,0.6928906313635538,0.6929193508767586,0.0009230769230770264,0.0009230769230770264,0.0008906313635538288,0.0009193508767586511
0.724,69,22,0.4937684145759624,0.05276258351888535,6.539654586961488,6.980660418018565,0.441005831057077,0.7221538461538461,0.7221538461538461,0.7227850370483558,0.7221888021531947,0.0018461538461538307,0.0018461538461538307,0.0012149629516441385,0.0018111978468052792
0.7559999999999998,73,18,0.7404026580123166,0.5866864372778716,6.293020343525134,6.446736564259578,0.15371622073444502,0.7572307692307693,0.7572307692307693,0.7566733432231811,0.7568970328581324,0.0012307692307694795,0.0012307692307694795,0.0006733432231813552,0.0008970328581325848
0.7879999999999998,73,18,1.0817074085907508,0.984470494536902,5.9517155929467,6.048952507000548,0.09723691405384871,0.7864615384615384,0.7864615384615384,0.7878774053265314,0.7875925487511711,0.0015384615384613776,0.0015384615384613776,0.00012259467346842357,0.000407451248828683
0.8199999999999998,70,21,1.1052249609246079,1.0389670750801836,5.928198040612842,5.994455926457267,0.06625788584442427,0.8215384615384616,0.8215384615384616,0.8202105048430857,0.8202817072331486,0.0015384615384617106,0.0015384615384617106,0.00021050484308582362,0.000281707233148798
