case,time,rate,coherence
misaligned,2.7,2.0,0.004516580942612666
aligned,2.725,0.0,1.0
misaligned,2.725,2.0,0.00429630469075234
aligned,2.75,0.0,1.0
misaligned,2.75,2.0,0.004086771438464067
aligned,2.7750000000000004,0.0,1.0
misaligned,2.7750000000000004,2.0,0.003887457243476127
aligned,2.8000000000000003,0.0,1.0
misaligned,2.8000000000000003,2.0,0.003697863716482929
aligned,2.825,0.0,1.0
misaligned,2.825,2.0,0.0035175167749121284
aligned,2.85,0.0,1.0
misaligned,2.85,2.0,0.003345965457471272
aligned,2.875,0.0,1.0
misaligned,2.875,2.0,0.003182780796509667
aligned,2.9000000000000004,0.0,1.0
misaligned,2.9000000000000004,2.0,0.0030275547453758127
aligned,2.9250000000000003,0.0,1.0
misaligned,2.9250000000000003,2.0,0.0028798991580882404
aligned,2.95,0.0,1.0
misaligned,2.95,2.0,0.0027394448187683684
aligned,2.975,0.0,1.0
misaligned,2.975,2.0,0.0026058405184084983
aligned,3.0,0.0,1.0
misaligned,3.0,2.0,0.0024787521766663585
