leakage,recovery,q_star,eta_star,floor_bound,coherence_floor,passes_99p1_target
0.0005,0.5800000000000001,0.41999999999999993,0.0005,0.0008620689655172413,0.9991379310344828,1
0.0005,0.59,0.41000000000000003,0.0005,0.0008474576271186442,0.9991525423728813,1
0.0005,0.6,0.4,0.0005,0.0008333333333333334,0.9991666666666666,1
0.0005,0.61,0.39,0.0005,0.000819672131147541,0.9991803278688525,1
0.0005,0.62,0.38,0.0005,0.0008064516129032258,0.9991935483870967,1
0.0005,0.63,0.36999999999999994,0.0005,0.0007936507936507935,0.9992063492063492,1
0.0005,0.64,0.36,0.0005,0.00078125,0.99921875,1
0.0005,0.65,0.35,0.0005,0.0007692307692307692,0.9992307692307693,1
0.0005,0.66,0.3399999999999999,0.0005,0.0007575757575757575,0.9992424242424243,1
0.0005,0.67,0.32999999999999996,0.0005,0.0007462686567164179,0.9992537313432835,1
0.0005,0.68,0.32,0.0005,0.0007352941176470589,0.9992647058823529,1
0.0005,0.6900000000000001,0.3099999999999999,0.0005,0.0007246376811594201,0.9992753623188406,1
0.0005,0.7000000000000001,0.29999999999999993,0.0005,0.0007142857142857143,0.9992857142857143,1
0.0005,0.7100000000000001,0.29,0.0005,0.0007042253521126761,0.9992957746478873,1
0.0005,0.72,0.28,0.0005,0.0006944444444444445,0.9993055555555556,1
0.0005,0.73,0.2700000000000001,0.0005,0.0006849315068493151,0.9993150684931507,1
0.0005,0.74,0.26,0.0005,0.0006756756756756757,0.9993243243243243,1
0.0005,0.75,0.25,0.0005,0.0006666666666666666,0.9993333333333333,1
0.0005,0.76,0.24,0.0005,0.0006578947368421052,0.9993421052631579,1
0.0005,0.77,0.22999999999999995,0.0005,0.0006493506493506494,0.9993506493506493,1
0.0005,0.78,0.21999999999999997,0.0005,0.000641025641025641,0.9993589743589744,1
0.0005,0.79,0.20999999999999994,0.0005,0.0006329113924050633,0.9993670886075949,1
0.0005,0.8,0.19999999999999993,0.0005,0.000625,0.999375,1
0.0005,0.81,0.18999999999999992,0.0005,0.0006172839506172839,0.9993827160493827,1
0.0005,0.8200000000000001,0.17999999999999994,0.0005,0.0006097560975609756,0.999390243902439,1
0.0005,0.8300000000000001,0.16999999999999993,0.0005,0.0006024096385542168,0.9993975903614458,1
0.0005,0.8400000000000001,0.15999999999999992,0.0005,0.0005952380952380952,0.9994047619047619,1
0.0005,0.85,0.15000000000000002,0.0005,0.0005882352941176471,0.9994117647058823,1
0.0005,0.86,0.14,0.0005,0.0005813953488372093,0.9994186046511628,1
0.0005,0.87,0.13000000000000003,0.0005,0.0005747126436781609,0.9994252873563219,1
0.0005,0.88,0.12,0.0005,0.0005681818181818182,0.9994318181818181,1
0.0005,0.89,0.10999999999999999,0.0005,0.0005617977528089888,0.999438202247191,1
0.0005,0.9,0.09999999999999996,0.0005,0.0005555555555555556,0.9994444444444445,1
0.0005,0.91,0.08999999999999996,0.0005,0.0005494505494505495,0.9994505494505495,1
0.0005,0.92,0.07999999999999997,0.0005,0.0005434782608695652,0.9994565217391305,1
0.0005,0.93,0.06999999999999995,0.0005,0.0005376344086021505,0.9994623655913979,1
0.0005,0.9400000000000001,0.05999999999999994,0.0005,0.0005319148936170213,0.999468085106383,1
0.0005,0.9500000000000001,0.04999999999999993,0.0005,0.0005263157894736842,0.9994736842105263,1
0.0005,0.9600000000000001,0.039999999999999925,0.0005,0.0005208333333333333,0.9994791666666667,1
0.0005,0.97,0.03000000000000003,0.0005,0.0005154639175257732,0.9994845360824742,1
0.0005,0.98,0.020000000000000014,0.0005,0.0005102040816326531,0.9994897959183674,1
0.0005,0.99,0.010000000000000009,0.0005,0.000505050505050505,0.9994949494949495,1
0.0005,1.0,0.0,0.0005,0.0005,0.9995,1
0.00075,0.01,0.99,0.00075,0.07499999999999994,0.925,0
0.00075,0.02,0.9800000000000001,0.00075,0.03750000000000018,0.9624999999999998,0
0.00075,0.03,0.97,0.00075,0.024999999999999977,0.975,0
0.00075,0.04,0.96,0.00075,0.018749999999999985,0.9812500000000001,0
0.00075,0.05,0.9499999999999998,0.00075,0.014999999999999954,0.9850000000000001,0
0.00075,0.060000000000000005,0.94,0.00075,0.012499999999999989,0.9875,0
0.00075,0.06999999999999999,0.9300000000000002,0.00075,0.010714285714285739,0.9892857142857142,0
0.00075,0.08,0.92,0.00075,0.009375000000000005,0.990625,0
0.00075,0.09,0.91,0.00075,0.008333333333333337,0.9916666666666667,1
0.00075,0.09999999999999999,0.8999999999999999,0.00075,0.007499999999999994,0.9925,1
0.00075,0.11,0.89,0.00075,0.006818181818181819,0.9931818181818182,1
0.00075,0.12,0.8800000000000001,0.00075,0.006250000000000006,0.99375,1
0.00075,0.13,0.8699999999999999,0.00075,0.005769230769230764,0.9942307692307693,1
0.00075,0.14,0.86,0.00075,0.005357142857142856,0.9946428571428572,1
0.00075,0.15000000000000002,0.8500000000000001,0.00075,0.005000000000000003,0.995,1
0.00075,0.16,0.84,0.00075,0.004687499999999999,0.9953125,1
0.00075,0.17,0.8300000000000001,0.00075,0.004411764705882355,0.9955882352941177,1
0.00075,0.18000000000000002,0.82,0.00075,0.004166666666666666,0.9958333333333333,1
0.00075,0.19,0.81,0.00075,0.003947368421052633,0.9960526315789474,1
0.00075,0.2,0.7999999999999999,0.00075,0.003749999999999999,0.99625,1
0.00075,0.21000000000000002,0.79,0.00075,0.003571428571428572,0.9964285714285714,1
0.00075,0.22,0.78,0.00075,0.0034090909090909094,0.9965909090909091,1
0.00075,0.23,0.77,0.00075,0.0032608695652173916,0.9967391304347826,1
0.00075,0.24000000000000002,0.7599999999999999,0.00075,0.003124999999999999,0.996875,1
0.00075,0.25,0.7499999999999999,0.00075,0.0029999999999999988,0.997,1
0.00075,0.26,0.74,0.00075,0.0028846153846153848,0.9971153846153846,1
0.00075,0.27,0.73,0.00075,0.0027777777777777775,0.9972222222222222,1
0.00075,0.28,0.72,0.00075,0.002678571428571428,0.9973214285714286,1
0.00075,0.29000000000000004,0.7099999999999999,0.00075,0.002586206896551723,0.9974137931034482,1
