p_noise,correction_interval,correction_rate,record,monitoring_cost,bit_fidelity,bit_advantage,plus_fidelity,code_population,logical_coherence,productive_score,regime
0.00125,52,0.019230769230769232,0.7529345954633263,0.02400000000000002,0.9185774754221461,0.8371549508442921,0.9174005815075474,0.9285430986918507,0.9062580643232448,0.6462771657063874,productive
0.00125,53,0.018867924528301886,0.746266312876328,0.02400000000000002,0.9215938769653105,0.843187753930621,0.9207651964573565,0.93194857941028,0.9095818135044329,0.6581227513799512,productive
0.00125,54,0.018518518518518517,0.7396773815225959,0.02400000000000002,0.9246193827184728,0.8492387654369455,0.9241466977793923,0.9353711515985754,0.9129222439602089,0.6701754070663015,productive
0.00125,55,0.01818181818181818,0.7331685208574867,0.02400000000000002,0.9276540685089643,0.8553081370179285,0.9275451702231945,0.9388109010356234,0.9162794394107666,0.6824388419445021,productive
0.00125,56,0.017857142857142856,0.7267402295713808,0.02400000000000002,0.9306980103941891,0.8613960207883782,0.9309606989636441,0.9422679139308152,0.9196534839964738,0.6949168331605518,productive
0.00125,57,0.017543859649122806,0.7203928093041521,0.02400000000000002,0.933751284663538,0.8675025693270759,0.9343933696030992,0.9457422769262145,0.9230444622799843,0.7076132270990027,productive
0.00125,58,0.017241379310344827,0.7141263860945648,0.02400000000000002,0.9368139678402969,0.8736279356805938,0.9378432681735412,0.9492340770987262,0.9264524592483564,0.7205319406787503,productive
0.00125,59,0.01694915254237288,0.7079409297714696,0.02400000000000002,0.9398861366835622,0.8797722733671245,0.9413104811387277,0.9527434019622752,0.9298775603151804,0.7336769626734819,productive
0.00125,60,0.016666666666666666,0.7018362714764412,0.02400000000000002,0.9429678681901672,0.8859357363803344,0.944795095396363,0.9562703394700034,0.9333198513227229,0.7470523550572902,productive
0.00125,61,0.01639344262295082,0.6958121194912221,0.02400000000000002,0.9460592395966125,0.8921184791932251,0.948297198280275,0.9598149780164739,0.9367794185440773,0.7606622543759023,productive
0.00125,62,0.016129032258064516,0.6898680735282592,0.02400000000000002,0.9491603283809974,0.8983206567619948,0.9518168775626035,0.9633774064398825,0.9402563486853248,0.7745108731440118,productive
0.00125,63,0.015873015873015872,0.6840036376283989,0.02400000000000002,0.9522712122649699,0.9045424245299398,0.9553542214559995,0.9669577140242922,0.9437507288877078,0.7886025012692742,productive
0.00125,64,0.015625,0.6782182317969141,0.02400000000000002,0.955391969215664,0.9107839384313281,0.9589093186158372,0.9705559905018606,0.9472626467298149,0.802941507503391,productive
0.00125,65,0.015384615384615385,0.6725112024969713,0.02400000000000002,0.9585226774476635,0.917045354895327,0.9624822581424358,0.9741723260550981,0.9507921902297745,0.8175323409209081,productive
0.00125,66,0.015151515151515152,0.6668818321087359,0.02400000000000002,0.9616634154249575,0.923326830849915,0.9660731295832922,0.9778068113191237,0.9543394478474625,0.832379532426177,productive
0.00125,67,0.014925373134328358,0.6613293474521653,0.02400000000000002,0.9648142618629044,0.9296285237258088,0.9696820229353253,0.981459537383934,0.9579045084867182,0.8474876962890595,productive
0.00125,68,0.014705882352941176,0.655852927462479,0.02400000000000002,0.9679752957302123,0.9359505914604247,0.973309028647132,0.9851305957966935,0.9614874614975717,0.8628615317099617,productive
0.00125,69,0.014492753623188406,0.6504517100988787,0.02400000000000002,0.9711465962509123,0.9422931925018245,0.9769542376212529,0.9888200785640231,0.9650883966784846,0.8785058244146928,productive
0.00125,70,0.014285714285714285,0.6451247985594666,0.02400000000000002,0.9743282429063431,0.9486564858126862,0.9806177412164525,0.9925280781543061,0.9687074042786009,0.8944254482797858,productive
0.00125,71,0.014084507042253521,0.6398712668685116,0.02400000000000002,0.9775203154371482,0.9550406308742965,0.9842996312500074,0.9962546875000091,0.9723445750000075,0.9106253669888529,productive
0.00125,72,0.013888888888888888,0.6346901648958398,0.02400000000000002,0.9807228938452707,0.9614457876905413,0.9880000000000076,1.000000000000009,0.9760000000000078,0.9271106357205597,productive
0.0025,1,1.0,1.0,0.8260650438651997,0.9986540396381991,0.9973080792763982,0.5869674780674009,1.0000000000000113,0.1739349561348023,0.10181933315828239,crystallized
0.0025,2,0.5,1.0,0.582944900361115,0.9973293743624803,0.9946587487249605,0.7085275498194548,1.0000000000000124,0.4170550996388907,0.293916714692387,crystallized
0.0025,3,0.3333333333333333,0.9999999999997904,0.44179255567076836,0.9960254973486278,0.9920509946972556,0.7791037221646271,1.00000000000001,0.5582074443292379,0.431444463306189,productive
0.0025,4,0.25,0.9999999989897916,0.3542019668356948,0.9947419181453483,0.9894838362906966,0.8228990165821638,1.00000000000001,0.6457980331643134,0.525837997629862,productive
0.0025,5,0.2,0.9999998946877083,0.2882992109304511,0.978864589657367,0.957729179314734,0.8431086012434335,0.9851121254687587,0.7011050770180991,0.557692772247423,productive
0.0025,6,0.16666666666666666,0.9999980095545283,0.25286718427763344,0.9922337692569195,0.9844675385138391,0.8735664078611954,1.0000000000000133,0.7471328157223754,0.642532556368031,productive
0.0025,7,0.14285714285714285,0.9999848702710878,0.21567117403507274,0.9764980523582173,0.9529961047164346,0.878881981140747,0.9851121254687611,0.7726518368127289,0.637516151685382,productive
