monitor_strength,leakage_fraction,context_correlation,public_error_mi_bits,excess_agency_leakage_bits,raw_agency_mi_bits,record_burden,restraint_score,regime
2.6333333333333333,0.0,0.35,0.9829668332637266,0.0,0.08908759889975562,0.29299830965759643,0.6949592126679742,restraint_interval
2.6666666666666665,0.0,0.35,0.9846024998853161,0.0,0.089232610723837,0.2992159894074672,0.6899936887090656,restraint_interval
2.7,0.0,0.35,0.9860991489538571,0.0,0.08936217930716295,0.3054561640075366,0.6848890855833154,restraint_interval
2.7333333333333334,0.0,0.35,0.9874620362486408,0.0,0.08947526935458743,0.3117172526962476,0.679653083167372,restraint_interval
2.7666666666666666,0.0,0.35,0.9886973261479586,0.0,0.08957170594521392,0.31799768193503974,0.6742938682975358,restraint_interval
2.8,0.0,0.35,0.9898122225719329,0.0,0.08965215469596799,0.32429588603937387,0.668820190840366,restraint_interval
2.8333333333333335,0.0,0.35,0.9908149352452696,0.0,0.0897179951221401,0.33061030779969147,0.6632413045312997,restraint_interval
2.8666666666666667,0.0,0.35,0.9917145041536892,0.0,0.08977112124851869,0.3369393990919868,0.6575668150533376,restraint_interval
2.9,0.0,0.35,0.9925205221775161,0.0,0.08981371317372185,0.34328162147768504,0.6518064679745397,restraint_interval
2.933333333333333,0.0,0.35,0.9932428035291189,0.0,0.08984802095948684,0.34963544679252534,0.6459699121437549,restraint_interval
2.966666666666667,0.0,0.35,0.9938910437814295,0.0,0.08987619034088964,0.355999357724165,0.6400664705474406,restraint_interval
3.0,0.0,0.35,0.9944745083735882,0.0,0.08990014360214302,0.36237184837822667,0.6341049426092228,restraint_interval
3.033333333333333,0.0,0.35,0.9950017741212764,0.0,0.08992151404474018,0.3687514248325282,0.6280934522031624,restraint_interval
3.0666666666666664,0.0,0.35,0.9954805358995359,0.0,0.08994162244972208,0.37513660567923923,0.622039346642434,restraint_interval
3.1,0.0,0.35,0.9959174807304502,0.0,0.08996147991185868,0.38152592255472806,0.6159491451063845,restraint_interval
3.1333333333333333,0.0,0.35,0.9963182251128008,0.0,0.08998180252240293,0.3879179206568677,0.6098285309145021,restraint_interval
3.1666666666666665,0.0,0.35,0.9966873085526685,0.0,0.09000302782024956,0.39431115924958715,0.6036823805079148,restraint_interval
3.2,0.0,0.35,0.9970282360901386,0.0,0.0900253289108453,0.4007042121544616,0.597514822251887,restraint_interval
3.2333333333333334,0.0,0.35,0.9973435639307532,0.0,0.09004862815707293,0.4070956682291511,0.5913293193183201,restraint_interval
3.2666666666666666,0.0,0.35,0.9976350236742015,0.0,0.09007261705089471,0.4134841318325071,0.5851287720245717,restraint_interval
3.3,0.0,0.35,0.9979036807479824,0.0,0.0900967909553186,0.41986822327617923,0.5789156353115674,restraint_interval
