kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score
0.7045,2.1,1,48,0.992709,0.02895,0.0,0.107792,0.004132,0.402423,0.0
0.7045,2.4,1,48,0.990722,0.036769,0.0,0.134568,4.8e-05,0.446781,0.0
0.7045,2.7,1,48,0.987757,0.048374,0.0,0.09255,0.001682,0.489906,0.0
0.7045,3.0,1,48,0.987349,0.049964,0.0,0.134097,0.000286,0.526378,0.0
0.7045,3.3,1,48,0.986928,0.051605,0.0,0.106214,0.003357,0.530814,0.0
0.7864,0.0,1,48,0.999739,0.001044,0.0,0.005402,0.000406,0.087865,0.0
0.7864,0.3,1,48,0.999275,0.002898,0.0,0.012516,0.002978,0.128707,0.0
0.7864,0.6,1,48,0.99926,0.002957,0.0,0.017893,0.000581,0.168004,0.0
0.7864,0.9,1,48,0.997722,0.00909,0.0,0.015728,0.002826,0.208183,0.0
0.7864,1.2,1,48,0.996871,0.012476,0.0,0.007656,0.006273,0.257635,0.0
0.7864,1.5,1,48,0.996973,0.012071,0.0,0.02962,0.000544,0.276621,0.0
0.7864,1.8,1,48,0.993997,0.023869,0.0,0.017583,0.001448,0.277504,0.0
0.7864,2.1,1,48,0.991788,0.032577,0.0,0.044258,0.003341,0.371772,0.0
0.7864,2.4,1,48,0.989722,0.04069,0.0,0.057584,0.005504,0.408198,0.0
0.7864,2.7,1,48,0.98896,0.043674,0.0,0.108861,0.002718,0.462507,0.0
0.7864,3.0,1,48,0.987111,0.050893,0.0,0.0967,0.004976,0.473545,0.0
0.7864,3.3,1,48,0.988166,0.046774,0.0,0.062736,0.000759,0.457871,0.0
0.8682,0.0,1,48,0.999647,0.00141,0.0,0.000251,0.000212,0.102783,0.0
0.8682,0.3,1,48,0.99913,0.003477,0.0,1.3e-05,0.004554,0.128979,0.0
0.8682,0.6,1,48,0.99818,0.007265,0.0,0.005932,0.005554,0.157374,0.0
0.8682,0.9,1,48,0.997672,0.009291,0.0,0.008677,0.000557,0.17777,0.0
0.8682,1.2,1,48,0.997648,0.009384,0.0,0.012283,0.000606,0.208365,0.0
0.8682,1.5,1,48,0.996706,0.013135,0.0,0.002021,0.00114,0.234161,0.0
0.8682,1.8,1,48,0.996316,0.01468,0.0,0.039462,0.000373,0.267755,0.0
0.8682,2.1,1,48,0.995066,0.019638,0.0,0.008272,0.000626,0.29815,0.0
0.8682,2.4,1,48,0.99032,0.038345,0.0,0.02058,0.002497,0.355141,0.0
0.8682,2.7,1,48,0.989276,0.042435,0.0,0.005896,0.000354,0.379537,0.0
0.8682,3.0,1,48,0.990884,0.03613,0.0,0.022495,0.003501,0.367539,0.0
0.8682,3.3,1,48,0.989666,0.040908,0.0,0.035788,0.000359,0.386136,0.0
0.95,0.0,1,48,0.999782,0.000872,0.0,0.001765,0.00401,0.052083,0.0
0.95,0.3,1,48,0.999786,0.000856,0.0,0.005876,0.00286,0.097405,0.0
0.95,0.6,1,48,0.999191,0.003233,0.0,0.000427,0.00355,0.126645,0.0
0.95,0.9,1,48,0.998644,0.005417,0.0,9e-06,0.001154,0.124817,0.0
0.95,1.2,1,48,0.997926,0.00828,0.0,0.010238,0.000367,0.162281,0.0
0.95,1.5,1,48,0.99704,0.011806,0.0,0.002666,0.005243,0.198648,0.0
0.95,1.8,1,48,0.996599,0.013557,0.0,0.000132,0.000354,0.206506,0.0
0.95,2.1,1,48,0.995775,0.016827,0.0,0.003179,0.005415,0.242507,0.0
0.95,2.4,1,48,0.994433,0.022145,0.0,0.002447,0.007639,0.281433,0.0
0.95,2.7,1,48,0.992767,0.028723,0.0,0.008686,0.000291,0.284174,0.0
0.95,3.0,1,48,0.993585,0.025497,0.0,0.006713,0.002196,0.283626,0.0
0.95,3.3,1,48,0.993541,0.025671,0.0,0.006337,0.000364,0.298246,0.0
