kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score,budget
0.480493,1.65,3,16,0.999909,0.000362,0.118074,0.012234,0.000299,0.014091,2e-05,2.1
0.480493,3.3,3,16,0.999825,0.000698,0.110923,0.017927,0.000202,0.042274,8.4e-05,2.1
0.543426,0.0,4,12,0.999902,0.000394,0.125551,0.006875,0.001505,0.060061,5.2e-05,2.1
0.543426,1.65,4,12,0.999593,0.001627,0.128859,0.018897,0.004278,0.074118,0.000179,2.1
0.543426,3.3,4,12,0.999723,0.001106,0.131353,0.00896,0.00071,0.014057,1.7e-05,2.1
0.639097,0.0,6,8,0.99949,0.002037,0.126981,0.001037,0.001708,0.130392,1.7e-05,2.1
0.639097,1.65,6,8,0.997838,0.00863,0.113436,0.013204,0.001231,0.084755,0.000127,2.1
0.639097,3.3,6,8,0.997352,0.010565,0.131399,0.024684,0.002338,0.030968,0.0001,2.1
0.709517,0.0,8,6,0.995837,0.016583,0.11927,0.00536,0.001907,0.219241,0.00014,2.1
0.709517,1.65,8,6,0.994575,0.021583,0.1262,0.000321,0.001529,0.138983,6e-06,2.1
0.709517,3.3,8,6,0.995652,0.017316,0.118782,0.00355,0.004688,0.107663,4.5e-05,2.1
0.806264,0.0,12,4,0.991902,0.03213,0.117709,0.000411,0.007549,0.276481,1.3e-05,2.1
0.806264,1.65,12,4,0.990125,0.039109,0.118359,0.001305,0.000152,0.186043,2.9e-05,2.1
0.806264,3.3,12,4,0.992732,0.02886,0.120802,0.000447,0.000275,0.248058,1.3e-05,2.1
0.331841,0.0,1,48,0.999966,0.000135,0.057471,0.006221,2.9e-05,0.0,0.0,2.8
0.331841,1.65,1,48,0.999791,0.000837,0.071096,0.04047,0.000486,0.133933,0.000385,2.8
0.331841,3.3,1,48,0.998062,0.007736,0.056334,0.123555,0.000435,0.410693,0.002856,2.8
0.456191,0.0,2,24,0.999884,0.000465,0.062321,0.00734,0.002062,0.072308,3.3e-05,2.8
0.456191,1.65,2,24,0.999917,0.000333,0.060442,0.023143,0.001974,0.045668,6.4e-05,2.8
0.456191,3.3,2,24,0.999666,0.001336,0.05982,0.067156,0.004437,0.066219,0.000264,2.8
0.543426,0.0,3,16,0.999806,0.000774,0.065613,0.018629,0.000694,0.058464,7.1e-05,2.8
0.543426,1.65,3,16,0.999437,0.002252,0.058611,0.005836,0.000266,0.064214,2.2e-05,2.8
0.543426,3.3,3,16,0.999813,0.000746,0.060828,0.04604,0.004032,0.0,0.0,2.8
0.610664,0.0,4,12,0.999409,0.002361,0.056189,0.008831,0.000278,0.059134,2.9e-05,2.8
0.610664,1.65,4,12,0.999665,0.001339,0.061578,0.021855,0.000842,0.08529,0.000115,2.8
0.610664,3.3,4,12,0.999735,0.00106,0.061578,0.043643,0.00326,0.061409,0.000164,2.8
0.709517,0.0,6,8,0.99897,0.004115,0.05491,0.007571,0.002964,0.14975,6.2e-05,2.8
0.709517,1.65,6,8,0.998094,0.007609,0.061212,0.006185,0.000126,0.130664,4.9e-05,2.8
0.709517,3.3,6,8,0.996679,0.013238,0.065541,0.015606,0.001479,0.044044,4.5e-05,2.8
0.778948,0.0,8,6,0.996498,0.013961,0.062157,0.009435,0.00077,0.115897,6.8e-05,2.8
0.778948,1.65,8,6,0.998396,0.006405,0.059034,5e-05,0.000911,0.171171,1e-06,2.8
0.778948,3.3,8,6,0.996502,0.013942,0.063567,0.012526,0.000207,0.155124,0.000123,2.8
0.867988,0.0,12,4,0.992659,0.02915,0.064317,0.004602,0.00095,0.249619,7.4e-05,2.8
0.867988,1.65,12,4,0.987581,0.049059,0.06122,0.007737,0.000639,0.175214,8.3e-05,2.8
0.867988,3.3,12,4,0.991911,0.032093,0.066005,0.00015,0.000326,0.180014,2e-06,2.8
