policy,step,mean_compactness,mean_expansion,mean_curvature,future_entropy_bits,admissible_mass,singular_mass,triggered_mass,geometry_record_mi_bits,interior_clock_record_mi_bits,early_privacy_leakage_bits,late_decodable_bits,cumulative_late_decodable_bits,floor_bits,privacy_epsilon_bits,floor_violation,privacy_violation
naked_collapse,11,0.2933742662960139,-0.24705614780212862,0.7643507857373107,6.205712775747619,0.24509786147762155,0.054989796589553046,0.0,1.2946226534327245,6.009961802960268e-16,0.1649693897686592,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,12,0.2937136088315912,-0.24781332320594157,0.7763929180025799,6.208573855079256,0.19964696316016137,0.045450898317460214,0.0,1.2981301996607089,0.0,0.13635269495238056,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,13,0.29352528586593446,-0.24772079519326806,0.7786364094046826,6.208357499314306,0.1625021481374523,0.037144815022709075,0.0,1.2975954113614223,1.511093302471042e-15,0.11143444506812683,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,14,0.29319571893433727,-0.24736230271715046,0.7771709864207603,6.207162097539626,0.13227689766616488,0.030225250471287355,0.0,1.295820059593915,2.8359814690463608e-15,0.09067575141386205,0.0,0.0,1.5,0.08,1.0,1.0
naked_collapse,15,0.29288042556686184,-0.24698344241821493,0.7747744141217396,6.2058677836501985,0.10770864051423028,0.02456825715193447,0.0,1.2939672981844554,0.0,0.07370477145580324,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,16,0.2926269019309309,-0.24666721253070792,0.7725233873567952,6.204777161060264,0.08773428247572179,0.019974358038508767,0.0,1.2924266411419898,0.0,0.059923074115526234,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,17,0.29243870726806326,-0.2464281216904533,0.7707301541549503,6.203948341439112,0.07148516229413666,0.016249120181585038,0.0,1.2912634363529496,6.994716864761634e-16,0.04874736054475499,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,18,0.29230491926946456,-0.24625641357319367,0.7694062744512015,6.203351254145527,0.058258508103674445,0.013226654190462298,0.0,1.2904285242129627,2.1587203257461e-15,0.039679962571386854,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,19,0.292212183523411,-0.2461366758835171,0.7684683106542424,6.202934063683176,0.04748675320350424,0.010771754900170077,0.0,1.2898464443895845,1.4518723781165082e-15,0.032315264700510216,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,20,0.29214888707862396,-0.24605464775149571,0.7678195532948934,6.202647896134425,0.038710984190747595,0.008775769012756743,0.0,1.2894477170161511,0.0,0.026327307038270183,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,21,0.29210609897081563,-0.24599906893380188,0.7673773571167672,6.202453839486806,0.03155943877859641,0.007151545412151111,0.0,1.289177564493424,8.187251968271149e-16,0.02145463623645337,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,22,0.2920773509589422,-0.24596167240217864,0.7670787010788206,6.20232319602907,0.0257304223113539,0.00582901646724252,0.0,1.2889957921802029,2.8542167131088163e-15,0.017487049401727628,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,23,0.29205811169784124,-0.2459366216642455,0.7668781594235171,6.202235650757046,0.020978757154250034,0.004751665157103857,0.0,1.288874028568589,0.0,0.014254995471311612,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,24,0.292045268588756,-0.24591988897275052,0.7667439998772847,6.202177160905388,0.017104988213947733,0.0038737689403022897,0.0,1.2887926959723985,0.0,0.011621306820906884,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,25,0.29203670923973946,-0.24590873301387012,0.7666544640693621,6.202138158701362,0.013946736784490947,0.0031582514294567965,0.0,1.2887384699515698,2.2500914854738364e-15,0.009474754288370392,0.0,0.0,1.5,0.08,1.0,0.0
naked_collapse,26,0.29203101088098593,-0.2459013040783011,0.7665948020742662,6.202112183834582,0.01137174113520483,0.0025749956492861345,0.0,1.288702359809742,0.0,0.007724986947858406,0.0,0.0,1.5,0.08,1.0,0.0
