sample,alpha,theta0,lambda_star,bound_2_over_alpha,bound_2_over_theta0,bound_satisfied,tight_bound_satisfied
73,0.5,-0.904551,1.827324,4.0,2.211043,1,1
74,0.5,-1.312138,1.370972,4.0,1.52423,1,1
75,0.5,-0.932897,1.733922,4.0,2.14386,1,1
76,0.5,-0.685868,2.5219,4.0,2.916014,1,1
77,0.5,-0.913418,1.860278,4.0,2.189578,1,1
78,0.5,-1.333484,1.396466,4.0,1.499831,1,1
79,0.5,-1.079337,1.648475,4.0,1.85299,1,1
80,0.5,-0.623106,2.1498,4.0,3.209726,1,1
81,0.5,-0.648819,2.121957,4.0,3.082525,1,1
82,0.5,-0.737372,2.029701,4.0,2.712335,1,1
83,0.5,-0.665144,2.250309,4.0,3.006868,1,1
84,0.5,-1.199832,1.604115,4.0,1.6669,1,1
85,0.5,-0.973207,1.875548,4.0,2.055061,1,1
86,0.5,-0.815041,2.211056,4.0,2.453865,1,1
87,0.5,-0.639809,2.117177,4.0,3.125934,1,1
88,0.5,-1.360732,1.300877,4.0,1.469797,1,1
89,0.5,-0.541916,2.563504,4.0,3.690608,1,1
90,0.5,-0.808203,2.038824,4.0,2.474627,1,1
91,0.5,-0.718727,2.076845,4.0,2.782698,1,1
92,0.5,-0.654885,2.25361,4.0,3.053972,1,1
93,0.5,-0.86395,2.006584,4.0,2.31495,1,1
94,0.5,-1.396096,1.253174,4.0,1.432566,1,1
95,0.5,-1.148942,1.60421,4.0,1.740732,1,1
96,0.5,-0.834107,2.01995,4.0,2.397773,1,1
97,0.5,-1.427387,1.281951,4.0,1.401161,1,1
98,0.5,-0.505512,2.46554,4.0,3.956385,1,1
99,0.5,-1.330456,1.364145,4.0,1.503244,1,1
0,1.0,-1.095839,1.638138,2.0,1.825086,1,1
1,1.0,-2.272106,0.854506,2.0,0.880241,1,1
2,1.0,-1.818071,1.06957,2.0,1.100067,1,1
3,1.0,-1.061987,1.782882,2.0,1.883262,1,1
4,1.0,-2.347673,0.824596,2.0,0.851907,1,1
5,1.0,-2.269622,0.855553,2.0,0.881204,1,1
6,1.0,-2.204111,0.890204,2.0,0.907395,1,1
7,1.0,-2.186895,0.897879,2.0,0.914539,1,1
8,1.0,-2.328451,0.835326,2.0,0.85894,1,1
9,1.0,-1.348648,1.36172,2.0,1.482967,1,1
10,1.0,-2.551651,0.759497,2.0,0.783806,1,1
11,1.0,-2.147298,0.888553,2.0,0.931403,1,1
12,1.0,-2.68739,0.722822,2.0,0.744216,1,1
13,1.0,-1.670741,1.151587,2.0,1.197074,1,1
14,1.0,-1.012647,1.856411,2.0,1.975023,1,1
15,1.0,-2.526443,0.766553,2.0,0.791627,1,1
16,1.0,-1.64693,1.147634,2.0,1.214381,1,1
17,1.0,-1.057754,1.683551,2.0,1.890799,1,1
18,1.0,-1.770561,1.041462,2.0,1.129585,1,1
19,1.0,-2.290888,0.842382,2.0,0.873024,1,1
20,1.0,-1.171476,1.511534,2.0,1.707248,1,1
21,1.0,-1.004361,1.737686,2.0,1.991315,1,1
22,1.0,-1.750346,1.065337,2.0,1.142631,1,1
23,1.0,-1.864755,1.045043,2.0,1.072527,1,1
24,1.0,-2.116188,0.919316,2.0,0.945096,1,1
25,1.0,-2.911948,0.670099,2.0,0.686826,1,1
26,1.0,-2.061868,0.929492,2.0,0.969994,1,1
27,1.0,-2.874146,0.693934,2.0,0.695859,1,1
28,1.0,-1.655303,1.151014,2.0,1.208238,1,1
29,1.0,-2.573456,0.74424,2.0,0.777165,1,1
30,1.0,-2.270708,0.872549,2.0,0.880783,1,1
31,1.0,-1.267038,1.431417,2.0,1.578485,1,1
32,1.0,-2.993994,0.657007,2.0,0.668004,1,1
33,1.0,-1.499353,1.241664,2.0,1.333909,1,1
34,1.0,-1.570612,1.210135,2.0,1.273389,1,1
35,1.0,-2.265588,0.857185,2.0,0.882773,1,1
36,1.0,-1.046686,1.725245,2.0,1.910793,1,1
37,1.0,-2.20578,0.869961,2.0,0.906709,1,1
38,1.0,-2.783116,0.707542,2.0,0.718619,1,1
39,1.0,-2.924716,0.664901,2.0,0.683827,1,1
40,1.0,-1.997549,0.968121,2.0,1.001227,1,1
41,1.0,-1.30356,1.44685,2.0,1.534261,1,1
42,1.0,-1.049247,1.704827,2.0,1.906129,1,1
43,1.0,-2.050263,0.958314,2.0,0.975485,1,1
44,1.0,-1.844706,1.047404,2.0,1.084183,1,1
45,1.0,-2.51325,0.768698,2.0,0.795782,1,1
46,1.0,-2.763484,0.702091,2.0,0.723724,1,1
47,1.0,-1.044699,1.642133,2.0,1.914427,1,1
48,1.0,-1.669409,1.109746,2.0,1.198029,1,1
49,1.0,-1.756373,1.051003,2.0,1.13871,1,1
50,1.0,-2.162083,0.900955,2.0,0.925034,1,1
51,1.0,-2.195751,0.892482,2.0,0.91085,1,1
52,1.0,-1.060907,1.685528,2.0,1.885179,1,1
53,1.0,-2.080807,0.940109,2.0,0.961166,1,1
54,1.0,-1.218152,1.429721,2.0,1.641832,1,1
55,1.0,-1.477347,1.300865,2.0,1.353778,1,1
56,1.0,-1.536798,1.231751,2.0,1.301408,1,1
57,1.0,-2.286876,0.850129,2.0,0.874556,1,1
58,1.0,-2.123892,0.901558,2.0,0.941667,1,1
59,1.0,-2.972783,0.66756,2.0,0.67277,1,1
60,1.0,-1.564907,1.199619,2.0,1.278031,1,1
61,1.0,-2.927941,0.676407,2.0,0.683074,1,1
62,1.0,-2.06017,0.924005,2.0,0.970793,1,1
63,1.0,-2.159914,0.884104,2.0,0.925963,1,1
64,1.0,-1.969215,0.969953,2.0,1.015633,1,1
65,1.0,-1.49235,1.264998,2.0,1.340168,1,1
66,1.0,-2.359112,0.830294,2.0,0.847777,1,1
67,1.0,-1.166054,1.560006,2.0,1.715187,1,1
68,1.0,-2.344438,0.814255,2.0,0.853083,1,1
69,1.0,-1.291941,1.410564,2.0,1.548058,1,1
70,1.0,-2.369859,0.831251,2.0,0.843932,1,1
71,1.0,-1.321648,1.351312,2.0,1.513262,1,1
72,1.0,-1.248849,1.436828,2.0,1.601475,1,1
73,1.0,-2.821814,0.699835,2.0,0.708764,1,1
74,1.0,-2.166062,0.910148,2.0,0.923335,1,1
75,1.0,-2.506394,0.780503,2.0,0.797959,1,1
76,1.0,-1.000956,1.73627,2.0,1.99809,1,1
77,1.0,-1.847502,1.010589,2.0,1.082543,1,1
78,1.0,-1.851395,1.011247,2.0,1.080267,1,1
79,1.0,-2.330101,0.829708,2.0,0.858332,1,1
80,1.0,-1.173844,1.545502,2.0,1.703804,1,1
81,1.0,-2.145295,0.898836,2.0,0.932273,1,1
82,1.0,-2.011877,0.924112,2.0,0.994097,1,1
83,1.0,-1.479942,1.26281,2.0,1.351405,1,1
84,1.0,-1.020627,1.769763,2.0,1.959579,1,1
85,1.0,-1.271903,1.434722,2.0,1.572447,1,1
86,1.0,-1.306035,1.351902,2.0,1.531353,1,1
87,1.0,-1.825894,1.054086,2.0,1.095354,1,1
88,1.0,-1.684762,1.128473,2.0,1.187111,1,1
89,1.0,-1.923548,0.97115,2.0,1.039745,1,1
90,1.0,-2.676476,0.739215,2.0,0.747251,1,1
91,1.0,-2.307912,0.822577,2.0,0.866584,1,1
92,1.0,-1.403468,1.347558,2.0,1.425041,1,1
93,1.0,-2.188921,0.903877,2.0,0.913692,1,1
94,1.0,-1.199613,1.499951,2.0,1.667204,1,1
95,1.0,-2.570179,0.75413,2.0,0.778156,1,1
96,1.0,-2.508643,0.774664,2.0,0.797244,1,1
97,1.0,-1.50856,1.273814,2.0,1.325767,1,1
98,1.0,-2.909563,0.674283,2.0,0.687389,1,1
99,1.0,-1.05181,1.765537,2.0,1.901484,1,1
0,2.0,-4.441642,0.448031,1.0,0.450284,1,1
1,2.0,-5.770198,0.34549,1.0,0.346609,1,1
2,2.0,-3.375908,0.57754,1.0,0.592433,1,1
3,2.0,-4.896422,0.405687,1.0,0.408462,1,1
4,2.0,-4.073663,0.484655,1.0,0.490959,1,1
5,2.0,-4.397517,0.450748,1.0,0.454802,1,1
6,2.0,-5.128528,0.38645,1.0,0.389975,1,1
7,2.0,-3.896857,0.507326,1.0,0.513234,1,1
8,2.0,-4.096016,0.479986,1.0,0.488279,1,1
9,2.0,-4.183077,0.474029,1.0,0.478117,1,1
10,2.0,-3.912637,0.508552,1.0,0.511164,1,1
11,2.0,-5.516008,0.361876,1.0,0.362581,1,1
12,2.0,-4.599735,0.432542,1.0,0.434808,1,1
13,2.0,-5.935472,0.334982,1.0,0.336957,1,1
14,2.0,-2.596708,0.758521,1.0,0.770206,1,1
15,2.0,-3.854004,0.514783,1.0,0.518941,1,1
16,2.0,-3.413479,0.580105,1.0,0.585912,1,1
17,2.0,-3.153627,0.628205,1.0,0.63419,1,1
18,2.0,-5.764072,0.345805,1.0,0.346977,1,1
19,2.0,-2.491607,0.785153,1.0,0.802695,1,1
20,2.0,-3.700491,0.534755,1.0,0.540469,1,1
21,2.0,-3.123708,0.629199,1.0,0.640265,1,1
22,2.0,-5.155968,0.386059,1.0,0.3879,1,1
23,2.0,-3.960515,0.500993,1.0,0.504985,1,1
24,2.0,-4.405164,0.452819,1.0,0.454013,1,1
25,2.0,-4.69858,0.420927,1.0,0.425661,1,1
26,2.0,-3.972899,0.496171,1.0,0.503411,1,1
27,2.0,-5.128568,0.387941,1.0,0.389972,1,1
28,2.0,-4.506084,0.439827,1.0,0.443844,1,1
29,2.0,-5.972023,0.33485,1.0,0.334895,1,1
30,2.0,-5.228202,0.379549,1.0,0.382541,1,1
31,2.0,-4.106252,0.482243,1.0,0.487062,1,1
32,2.0,-2.981567,0.65512,1.0,0.670788,1,1
33,2.0,-3.444262,0.577807,1.0,0.580676,1,1
34,2.0,-2.846903,0.684013,1.0,0.702518,1,1
35,2.0,-4.899814,0.405554,1.0,0.408179,1,1
36,2.0,-5.951079,0.333333,1.0,0.336074,1,1
37,2.0,-4.845038,0.411041,1.0,0.412793,1,1
38,2.0,-4.807325,0.415033,1.0,0.416032,1,1
39,2.0,-5.956863,0.333139,1.0,0.335747,1,1
40,2.0,-2.771238,0.706554,1.0,0.721699,1,1
41,2.0,-4.144081,0.475998,1.0,0.482616,1,1
42,2.0,-2.492534,0.77983,1.0,0.802396,1,1
43,2.0,-2.891713,0.680953,1.0,0.691632,1,1
44,2.0,-2.79051,0.70115,1.0,0.716715,1,1
45,2.0,-4.759946,0.417571,1.0,0.420173,1,1
46,2.0,-4.825976,0.41148,1.0,0.414424,1,1
47,2.0,-3.107616,0.632139,1.0,0.64358,1,1
48,2.0,-5.764402,0.34428,1.0,0.346957,1,1
49,2.0,-3.225608,0.614931,1.0,0.620038,1,1
50,2.0,-2.694575,0.727202,1.0,0.742232,1,1
51,2.0,-4.923535,0.403436,1.0,0.406212,1,1
52,2.0,-3.629379,0.540963,1.0,0.551058,1,1
53,2.0,-4.604647,0.431782,1.0,0.434344,1,1
54,2.0,-5.423763,0.365596,1.0,0.368748,1,1
55,2.0,-2.251862,0.850947,1.0,0.888154,1,1
56,2.0,-3.139447,0.628755,1.0,0.637055,1,1
57,2.0,-2.093267,0.926709,1.0,0.955444,1,1
58,2.0,-5.303279,0.375217,1.0,0.377125,1,1
59,2.0,-5.816532,0.342545,1.0,0.343847,1,1
60,2.0,-2.880462,0.682233,1.0,0.694333,1,1
61,2.0,-5.286896,0.37516,1.0,0.378294,1,1
62,2.0,-3.432862,0.574572,1.0,0.582604,1,1
63,2.0,-5.190174,0.383231,1.0,0.385344,1,1
64,2.0,-5.015435,0.395853,1.0,0.398769,1,1
65,2.0,-5.886502,0.337619,1.0,0.33976,1,1
66,2.0,-3.825193,0.514346,1.0,0.522849,1,1
67,2.0,-4.095076,0.484289,1.0,0.488391,1,1
68,2.0,-3.696605,0.531421,1.0,0.541037,1,1
69,2.0,-5.790186,0.343833,1.0,0.345412,1,1
70,2.0,-4.679538,0.425304,1.0,0.427393,1,1
71,2.0,-5.76715,0.346425,1.0,0.346792,1,1
72,2.0,-2.79616,0.705003,1.0,0.715267,1,1
73,2.0,-4.93861,0.401524,1.0,0.404972,1,1
74,2.0,-2.705469,0.719795,1.0,0.739243,1,1
75,2.0,-3.400306,0.582752,1.0,0.588182,1,1
76,2.0,-2.719506,0.716502,1.0,0.735428,1,1
77,2.0,-4.415937,0.448494,1.0,0.452905,1,1
78,2.0,-2.070693,0.920099,1.0,0.96586,1,1
79,2.0,-3.492776,0.567538,1.0,0.57261,1,1
80,2.0,-3.824654,0.516525,1.0,0.522923,1,1
81,2.0,-5.980798,0.332523,1.0,0.334404,1,1
82,2.0,-3.517677,0.565433,1.0,0.568557,1,1
83,2.0,-5.351881,0.370458,1.0,0.3737,1,1
84,2.0,-2.286633,0.843398,1.0,0.874648,1,1
85,2.0,-4.656503,0.42755,1.0,0.429507,1,1
86,2.0,-4.15634,0.479085,1.0,0.481193,1,1
87,2.0,-4.586411,0.432457,1.0,0.436071,1,1
