protocol,window_start,step,round,updated,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,sector_total_bits,sector_exported_bits,sector_retained_bits,sector_contraction_bits,sector_sorted_bits,sector_destroyed_bits,protected_exported_bits,protected_retained_bits,capacity_bits,record_entropy_bits,branches
uniform_decoder,44,5,49,0.0,2.3570136579863394,1.5267536006531197,0.8302600573332197,0.04192292591192537,0.00017210538312939505,0.04175082052879597,1.5267804588676912,1.526753600653119,2.6858214572156314e-05,0.00023261152681164354,0.00017210538312983914,6.05061436818044e-05,0.0,0.8302331991186478,2.0,0.9756878807315603,1024
uniform_decoder,44,6,50,0.0,2.314223434601355,1.526770623043098,0.7874528115582571,0.04280724577496264,1.7022389978249564e-05,0.042790223384984394,1.52677358574624,1.526770623043097,2.9627031428169914e-06,2.3895511429339322e-05,1.702238997802752e-05,6.873121451311803e-06,0.0,0.7874498488551145,2.0,1.0053354991126144,4096
uniform_decoder,44,7,51,0.0,2.2710294768338315,1.526772515702552,0.7442569611312795,0.0431958504269776,1.8926594540502606e-06,0.04319395776752355,1.5267728245817462,1.5267725157025516,3.0887919466593416e-07,2.6538239481510573e-06,1.8926594544943498e-06,7.611644936567075e-07,0.0,0.7442566522520848,2.0,1.031595320182043,16384
uniform_decoder,44,8,52,0.0,2.2281049165747593,1.5267727095449815,0.7013322070297778,0.04292475410150165,1.9384242944120444e-07,0.04292456025907221,1.5267727419763775,1.5267727095449812,3.243139623521074e-08,2.764477984307234e-07,1.9384242966324905e-07,8.260536876747437e-08,0.0,0.7013321745983809,2.0,1.054022253727801,65536
uniform_decoder,52,0,52,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,52,1,53,0.0,2.3608694517505286,1.26014042336167,1.1007290283888587,1.8992709716111413,1.26014042336167,0.6391305482494714,1.3998916588421304,1.2601404233616698,0.13975123548046064,1.8602487645195394,1.2601404233616698,0.6001083411578696,0.0,0.960977792908398,2.0,2.0,4
uniform_decoder,52,2,54,0.0,2.2508741581736045,1.3364551415452128,0.9144190166283916,0.18631001176046702,0.07631471818354285,0.10999529357692417,1.3527206807945453,1.3364551415452137,0.016265539249331606,0.12348569623112904,0.07631471818354396,0.04717097804758508,0.0,0.8981534773790596,2.0,1.1362772893885247,16
uniform_decoder,52,3,55,0.0,2.185729517635951,1.3467557782800494,0.8389737393559014,0.07544527727249029,0.01030063673483661,0.06514464053765368,1.3483112810645728,1.3467557782800497,0.0015555027845230995,0.014710036464808507,0.010300636734835944,0.004409399729972563,0.0,0.8374182365713785,2.0,1.1034947727504616,64
uniform_decoder,52,4,56,0.0,2.1287873241972495,1.347686772129352,0.7811005520678975,0.057873187288003836,0.0009309938493025083,0.05694219343870133,1.347851560724831,1.347686772129352,0.00016478859547897073,0.0013907141890441288,0.0009309938493022862,0.00045972033974184257,0.0,0.7809357634724183,2.0,1.1013587055496807,256
uniform_decoder,52,5,57,0.0,2.076836668868113,1.3477892707675274,0.7290473981005856,0.052053153967311916,0.00010249863817546334,0.05195065532913645,1.3478054640441286,1.3477892707675267,1.6193276601850215e-05,0.00014859531887712052,0.00010249863817479721,4.609668070232331e-05,0.0,0.7290312048239835,2.0,1.1010213261187727,1024
uniform_decoder,52,6,58,0.0,2.0296666295763366,1.347799191019986,0.6818674385563506,0.04717995954423504,9.920252458606171e-06,0.04717003929177643,1.3478008378712458,1.347799191019985,1.646851260916904e-06,1.4546425340933311e-05,9.920252458162082e-06,4.626172882771229e-06,0.0,0.6818657917050897,2.0,1.0965093387322067,4096
uniform_decoder,52,7,59,0.0,1.987289996259613,1.3478002097336101,0.6394897865260027,0.04237765203034782,1.018713624123535e-06,0.0423766333167237,1.34780037530011,1.3478002097336093,1.655665007316287e-07,1.4812847601852752e-06,1.0187136243455797e-06,4.6257113583969556e-07,0.0,0.6394896209595021,2.0,1.087355020664429,16384
uniform_decoder,52,8,60,0.0,1.9496169674964978,1.3478003123712505,0.6018166551252473,0.037673131400755455,1.0263764038676015e-07,0.03767302876311507,1.3478003292485685,1.34780031237125,1.6877318431696153e-08,1.4868918229993255e-07,1.0263764083084936e-07,4.605154146908319e-08,0.0,0.6018166382479291,2.0,1.0735579051197837,65536
uniform_decoder,60,0,60,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,60,1,61,0.0,2.389381589760157,1.2866908738919658,1.1026907158681911,1.8973092841318089,1.2866908738919658,0.6106184102398431,1.4256611258783467,1.2866908738919656,0.13897025198638113,1.8610297480136189,1.2866908738919656,0.5743388741216533,0.0,0.9637204638818098,2.0,1.9999999999999991,4
uniform_decoder,60,2,62,0.0,2.290096376608031,1.3634600421623322,0.9266363344456989,0.1760543814224922,0.0767691682703664,0.0992852131521258,1.3799423669026885,1.3634600421623317,0.016482324740356713,0.12248792724602442,0.07676916827036617,0.04571875897565825,0.0,0.9101540097053427,2.0,1.0836595415435382,16
uniform_decoder,60,3,63,0.0,2.238767650611341,1.3742577816237145,0.8645098689876265,0.06212646545807243,0.010797739461382294,0.05132872599669014,1.3758865161489773,1.3742577816237143,0.0016287345252630203,0.014853590215093693,0.010797739461382516,0.0040558507537111765,0.0,0.8628811344623639,2.0,1.0145789781596792,64
uniform_decoder,60,4,64,0.0,2.1980784573861785,1.3752740253530091,0.8228044320331693,0.041705436954457165,0.0010162437292946525,0.04068919322516251,1.3754599706874022,1.3752740253530094,0.00018594533439286742,0.001442789190870153,0.0010162437292950965,0.00042654546157505635,0.0,0.8226184866987768,2.0,0.9770781192962332,256
