protocol,round,logical_error,entanglement_fidelity,updated,estimate_l1_error,meas_estimation_error,syndrome_mi_bits,q_star,eta_star,alignment_floor,channel_p0,channel_p1,channel_p2,channel_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,syndrome_rate_01,syndrome_rate_12
overactive_decoder,1.0,0.0021736653985698854,0.9978263346014301,1.0,0.0026872168971452714,0.0009830893407695232,0.19602416931683342,0.9991547260676751,0.04787624166206451,56.639912614341824,0.028787792827848623,0.004159033286044574,0.0034287301511236267,0.014538291055825712,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04475,0.02175
overactive_decoder,2.0,0.0036772442159017336,0.9963227557840982,1.0,0.003598954133490256,0.0008829504868531519,0.19840521548262735,0.9991378949074524,0.048585648285116884,56.3569902383279,0.0289478477194849,0.004639055896082759,0.0031570704164531056,0.014638429909742083,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04575,0.0235
overactive_decoder,3.0,0.005326356913750336,0.9946736430862496,1.0,0.004396090964898734,0.0007943467790731129,0.20098510035347256,0.9991186145351256,0.04921795081846502,55.84157304600003,0.028950828656302947,0.005211682030202612,0.0029355406559825265,0.014727033617522122,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.05375,0.025
overactive_decoder,4.0,0.007107338326702137,0.9928926616732978,1.0,0.005086624970232417,0.0007176645265850514,0.20373173783595733,0.9990971404698055,0.049773416994247144,55.128638874225324,0.028784359322713705,0.005889641327865912,0.002756496614722902,0.014803715870010184,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.04775,0.02475
overactive_decoder,5.0,0.00900796598709999,0.9909920340129,1.0,0.005676380970531853,0.0006532373282022164,0.20660400075231256,0.999073875846515,0.05025142214615235,54.25991964150256,0.02843533474153467,0.006685286770073433,0.002613361475451953,0.014868143068393019,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.0495,0.02275
overactive_decoder,6.0,0.01101706625968401,0.988982933740316,1.0,0.006169465897299704,0.0006013443428761929,0.2095496117620716,0.9990494227994402,0.050650807049251345,53.28426457043454,0.027891489752301896,0.00760933618582356,0.002500480975201454,0.014920036053719042,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.0465,0.02375
overactive_decoder,7.0,0.013124085550238206,0.9868759144497617,1.0,0.00773941405960697,0.0005622086861971215,0.21250400560966534,0.9990246273097216,0.05097036245075856,52.25731964692592,0.027143515790454924,0.008669201313165807,0.0024129859847942417,0.014959171710398114,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0.0,0.046,0.0275
overactive_decoder,8.0,0.015318659961515364,0.9846813400384846,1.0,0.004079404409740573,0.003239403628811555,0.21539101873563912,0.9990005978506534,0.05120940802863223,51.24004192117642,0.02618760173329754,0.009867015751083296,0.00234668380610792,0.014985384476120286,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,1.0,0.04975,0.02675
overactive_decoder,9.0,0.017590236921284124,0.9824097630787159,1.0,0.006520841620385321,0.00325258695450145,0.21812618727209152,0.9989786745132224,0.051368399542578005,50.29581676714271,0.025028087176918665,0.01119762963168294,0.002297992579774151,0.014998567801810182,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.052,0.0265
overactive_decoder,10.0,0.019927818921027896,0.9800721810789721,1.0,0.00928452142362363,0.003252694770519123,0.2206230227842984,0.998960329466922,0.05144945925469605,49.48631092042111,0.02367971101183441,0.012647000685675489,0.002263925163935657,0.014998675617827854,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.05,0.02875
overactive_decoder,11.0,0.022319900206630994,0.977680099793369,1.0,0.012318122939572483,0.0032397430289290135,0.2228018448755288,0.9989469957308983,0.05145670055975114,48.86656404883099,0.022168805398437928,0.014191503162737307,0.0022421185894262088,0.014985723876237745,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.04575,0.03075
overactive_decoder,12.0,0.024754641689356194,0.9752453583106439,1.0,0.015549969983442595,0.0032138114055546233,0.22459974457563145,0.9989398481529754,0.0513962307892609,48.48006531659583,0.020532838802705875,0.01579860839441686,0.002230893805884716,0.014959792252863355,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0.0,0.04475,0.03
