protocol,rounds,logical_error,entanglement_fidelity,logical_p01,logical_p10,logical_bitflip_probability,logical_bitflip_asymmetry,logical_ptm_symmetry_pass,logical_ptm_xx,logical_ptm_yy,logical_ptm_zz,logical_ptm_z_shift,logical_coherent_information_bits,pauli_logical_p_i,pauli_logical_p_x,pauli_logical_p_y,pauli_logical_p_z,pauli_logical_error_probability,pauli_logical_bitflip_probability,pauli_logical_phaseflip_probability,pauli_logical_ptm_xx,pauli_logical_ptm_yy,pauli_logical_ptm_zz,pauli_logical_entanglement_fidelity,pauli_logical_coherent_information_bits,pauli_bitflip_consistency_error,phase_window_rounds,phase_avg_logical_error,phase_avg_entanglement_fidelity,phase_avg_coherent_information_bits,phase_avg_pauli_logical_error_probability,phase_avg_pauli_coherent_information_bits,updates,avg_l1_estimation_error,avg_meas_estimation_error,avg_syndrome_mi_bits,avg_logical_record_leakage_bits,worst_q_star,worst_eta_star,worst_alignment_floor,best_static_logical_error,adaptive_benefit_log10,overactive_penalty_log10,instant_proxy_gap_log10,best_protocol,calibration_phase,phase_scan_period
uniform_decoder,96.0,0.4677221831820541,0.5322778168179456,0.46772218318205444,0.4677221831820543,0.4677221831820544,1.6653345369377348e-16,1.0,1.0,0.06455563363589123,0.06455563363589123,-1.6653345369377348e-16,0.003008256662974995,0.26712016875231476,0.23472306610636576,0.2329991170756892,0.2651576480656304,0.7328798312476854,0.46772218318205494,0.4981567651413196,0.0036864697173609184,0.00023857165600776886,0.0645556336358902,0.26712016875231476,-0.9969819401592237,5.551115123125783e-16,4.0,0.46698743847294977,0.53301256152705,0.0031477518970682294,0.7324747951223822,-0.9968417002319765,0.0,0.043839314516280904,0.014915814297129584,0.11486440697130613,2.7273128158620732e-17,0.9995483011753235,0.09236559863480191,83.39906963351204,0.4677221831820541,0.008295653086101046,0.004982727616976653,-0.0031633599311672142,adaptive_decoder,2.0,4.0
static_tailored,96.0,0.4731728902528457,0.5268271097471544,0.47317289025284565,0.47317289025284565,0.47317289025284565,0.0,1.0,1.0,0.05365421949430871,0.05365421949430871,0.0,0.0020775948945480627,0.26438971166434116,0.2374631210205522,0.23570976923229328,0.26243739808281324,0.7356102883356588,0.4731728902528455,0.49814716731510655,0.003705665369786837,0.00019896179326900354,0.05365421949430893,0.26438971166434116,-0.9979124995704769,1.6653345369377348e-16,4.0,0.47264805538084664,0.5273519446191535,0.0021601813412225057,0.735310856122886,-0.9978291618424305,0.0,0.0527020375465122,0.008169331182761,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.11752349091882866,880.4925167783579,0.4677221831820541,0.008295653086101046,0.004982727616976653,-0.0031633599311672142,adaptive_decoder,2.0,4.0
adaptive_decoder,96.0,0.4588727997102439,0.541127200289756,0.45887279971024386,0.4588727997102441,0.458872799710244,2.220446049250313e-16,1.0,1.0,0.08225440057951205,0.08225440057951205,2.220446049250313e-16,0.004886001586748234,0.2715498113754635,0.2302726088101613,0.22860019090008293,0.26957738891429217,0.7284501886245364,0.4588727997102442,0.4981775798143751,0.0036448403712497357,0.00030000455109302493,0.08225440057951147,0.2715498113754635,-0.9951044153902233,2.220446049250313e-16,4.0,0.4583514547558025,0.5416485452441975,0.005011258379114619,0.7281521545928515,-0.9949784317834955,4.0,0.03198985576567815,0.005761530710146827,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.10567386018368269,880.4925167783579,0.4677221831820541,0.008295653086101046,0.004982727616976653,-0.0031633599311672142,adaptive_decoder,2.0,4.0
overactive_decoder,96.0,0.46416783545839735,0.5358321645416024,0.4641678354583971,0.4641678354583979,0.4641678354583975,7.771561172376096e-16,1.0,1.0,0.07166432908320497,0.07166432908320497,7.771561172376096e-16,0.003707856928137132,0.2685980230541778,0.2326745940371913,0.23149324142120775,0.2672341414874231,0.7314019769458221,0.464167835458399,0.49872738290863083,0.0025452341827382208,0.00018252895077119913,0.07166432908320183,0.2685980230541778,-0.9962874700210036,1.4988010832439613e-15,4.0,0.4636351287135785,0.5363648712864213,0.0038194926291789943,0.731105519378934,-0.9961754181381165,96.0,0.008059017578698457,0.0018569184282380318,0.11486440697130613,2.7273128158620732e-17,0.9999338631259679,0.10613977600618016,521.1136955057403,0.4677221831820541,0.008295653086101046,0.004982727616976653,-0.0031633599311672142,adaptive_decoder,2.0,4.0
instant_proxy_decoder,96.0,0.46222738820485343,0.5377726117951466,0.4622273882048535,0.4622273882048534,0.46222738820485343,1.1102230246251565e-16,1.0,1.0,0.07554522359029314,0.07554522359029314,-1.1102230246251565e-16,0.004120713363411355,0.26988188990932616,0.23196933044697116,0.23025805775788205,0.26789072188582075,0.730118110090674,0.4622273882048532,0.4981487796437028,0.003702440712594457,0.00027989533441630243,0.0755452235902937,0.26988188990932616,-0.9958693983336631,2.220446049250313e-16,4.0,0.46160927178682587,0.5383907282131741,0.004257452678623597,0.7297711391429907,-0.9957319090455554,0.0,0.0,0.0,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.10855727400873828,880.4925167783579,0.4677221831820541,0.008295653086101046,0.004982727616976653,-0.0031633599311672142,adaptive_decoder,2.0,4.0
uniform_decoder,96.0,0.4677221831820541,0.5322778168179456,0.46772218318205444,0.4677221831820543,0.4677221831820544,1.6653345369377348e-16,1.0,1.0,0.06455563363589123,0.06455563363589123,-1.6653345369377348e-16,0.003008256662974995,0.26712016875231476,0.23472306610636576,0.2329991170756892,0.2651576480656304,0.7328798312476854,0.46772218318205494,0.4981567651413196,0.0036864697173609184,0.00023857165600776886,0.0645556336358902,0.26712016875231476,-0.9969819401592237,5.551115123125783e-16,4.0,0.46698743847294977,0.53301256152705,0.0031477518970682294,0.7324747951223822,-0.9968417002319765,0.0,0.043839314516280904,0.014915814297129584,0.11486440697130613,2.7273128158620732e-17,0.9995483011753235,0.09236559863480191,83.39906963351204,0.4677221831820541,0.004538408664320629,0.004645851653080226,0.000593884490613193,instant_proxy_decoder,3.0,4.0
static_tailored,96.0,0.4731728902528457,0.5268271097471544,0.47317289025284565,0.47317289025284565,0.47317289025284565,0.0,1.0,1.0,0.05365421949430871,0.05365421949430871,0.0,0.0020775948945480627,0.26438971166434116,0.2374631210205522,0.23570976923229328,0.26243739808281324,0.7356102883356588,0.4731728902528455,0.49814716731510655,0.003705665369786837,0.00019896179326900354,0.05365421949430893,0.26438971166434116,-0.9979124995704769,1.6653345369377348e-16,4.0,0.47264805538084664,0.5273519446191535,0.0021601813412225057,0.735310856122886,-0.9978291618424305,0.0,0.0527020375465122,0.008169331182761,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.11752349091882866,880.4925167783579,0.4677221831820541,0.004538408664320629,0.004645851653080226,0.000593884490613193,instant_proxy_decoder,3.0,4.0
adaptive_decoder,96.0,0.4628599024684169,0.5371400975315833,0.46285990246841685,0.4628599024684166,0.4628599024684167,2.7755575615628914e-16,1.0,1.0,0.07428019506316663,0.07428019506316663,-2.7755575615628914e-16,0.00398373725889023,0.26955683702673916,0.23228018888449314,0.23057971358392387,0.2675832605048438,0.7304431629732608,0.462859902468417,0.4981629740887677,0.0036740518224646634,0.0002731012213260664,0.07428019506316597,0.26955683702673916,-0.9960065254965689,3.3306690738754696e-16,4.0,0.4622234658378904,0.5377765341621098,0.004122246415668801,0.7300873298122923,-0.9958672778234344,2.0,0.06364066962509592,0.014435090360726094,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.11626086903720514,880.4925167783579,0.4677221831820541,0.004538408664320629,0.004645851653080226,0.000593884490613193,instant_proxy_decoder,3.0,4.0
overactive_decoder,96.0,0.46783791038593653,0.5321620896140633,0.46783791038593664,0.4678379103859368,0.4678379103859367,1.6653345369377348e-16,1.0,1.0,0.06432417922812661,0.06432417922812661,1.6653345369377348e-16,0.00298670915160848,0.26675843347460937,0.2345144094678771,0.23332350091806137,0.2654036561394522,0.7332415665253906,0.46783791038593847,0.4987271570575136,0.002545685884972837,0.00016386878534141447,0.06432417922812311,0.26675843347460937,-0.9970086161387339,1.7763568394002505e-15,4.0,0.4672177228211951,0.5327822771788047,0.0031037298320313877,0.7329014454491412,-0.9968911791263677,96.0,0.007756909013462397,0.0025213264737221825,0.11486440697130613,2.7273128158620732e-17,0.9999338631259679,0.11626086903720514,521.1136955057403,0.4677221831820541,0.004538408664320629,0.004645851653080226,0.000593884490613193,instant_proxy_decoder,3.0,4.0
instant_proxy_decoder,96.0,0.46222738820485343,0.5377726117951466,0.4622273882048535,0.4622273882048534,0.46222738820485343,1.1102230246251565e-16,1.0,1.0,0.07554522359029314,0.07554522359029314,-1.1102230246251565e-16,0.004120713363411355,0.26988188990932616,0.23196933044697116,0.23025805775788205,0.26789072188582075,0.730118110090674,0.4622273882048532,0.4981487796437028,0.003702440712594457,0.00027989533441630243,0.0755452235902937,0.26988188990932616,-0.9958693983336631,2.220446049250313e-16,4.0,0.46160927178682587,0.5383907282131741,0.004257452678623597,0.7297711391429907,-0.9957319090455554,0.0,0.0,0.0,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.10855727400873828,880.4925167783579,0.4677221831820541,0.004538408664320629,0.004645851653080226,0.000593884490613193,instant_proxy_decoder,3.0,4.0
